"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES.confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","version","lastUpdated","status","reviewNotes","review"
"SMKG01C_cont","N/A","cont","cchs2001_p, cchs2003_p","cchs2001_p::SMKAG01C, cchs2003_p::SMKCG01C","","cat","13","10","12-14 years","Midpoint of 12-14 years","years","2","12-14 years","Age 1st cig (grouped)","Age first cigarette grouped","PUMF: midpoint imputation from grouped categories","3.0.0-alpha","2026-01-04","active","Removed _s/_i. Shorter labels. Added PUMF 2019-2021.",""
"SMKG01C_cont","N/A","cont","cchs2005_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2021_p","cchs2005_p::SMKEG01C, cchs2009_2010_p::SMKG01C, cchs2011_2012_p::SMKG01C, cchs2013_2014_p::SMKG01C, cchs2015_2016_p::SMKG035, cchs2017_2018_p::SMKG035, cchs2019_2020_p::SMKG035, cchs2021_p::SMKG035","","cat","13","11","12-14 years","Midpoint of 12-14 years","years","2","12-14 years","Age 1st cig (grouped)","Age first cigarette grouped","PUMF: midpoint imputation from grouped categories","3.0.0-alpha","2026-01-04","active","Removed _s/_i. Shorter labels. Added PUMF 2019-2021.",""
"SMKG01C_cont","N/A","cont","cchs2005_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2021_p","cchs2005_p::SMKEG01C, cchs2009_2010_p::SMKG01C, cchs2011_2012_p::SMKG01C, cchs2013_2014_p::SMKG01C, cchs2015_2016_p::SMKG035, cchs2017_2018_p::SMKG035, cchs2019_2020_p::SMKG035, cchs2021_p::SMKG035","","cat","16","11","15-17 years","Midpoint of 15-17 years","years","3","15-17 years","Age 1st cig (grouped)","Age first cigarette grouped","PUMF: midpoint imputation from grouped categories","3.0.0-alpha","2026-01-04","active","Removed _s/_i. Shorter labels. Added PUMF 2019-2021.",""
"SMKG01C_cont","N/A","cont","cchs2001_p, cchs2003_p","cchs2001_p::SMKAG01C, cchs2003_p::SMKCG01C","","cat","17","10","15-19 years","Midpoint of 15-19 years","years","3","15-19 years","Age 1st cig (grouped)","Age first cigarette grouped","PUMF: midpoint imputation from grouped categories","3.0.0-alpha","2026-01-04","active","Removed _s/_i. Shorter labels. Added PUMF 2019-2021.",""
"SMKG01C_cont","N/A","cont","cchs2005_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2021_p","cchs2005_p::SMKEG01C, cchs2009_2010_p::SMKG01C, cchs2011_2012_p::SMKG01C, cchs2013_2014_p::SMKG01C, cchs2015_2016_p::SMKG035, cchs2017_2018_p::SMKG035, cchs2019_2020_p::SMKG035, cchs2021_p::SMKG035","","cat","18.5","11","18-19 years","Midpoint of 18-19 years","years","4","18-19 years","Age 1st cig (grouped)","Age first cigarette grouped","PUMF: midpoint imputation from grouped categories","3.0.0-alpha","2026-01-04","active","Removed _s/_i. Shorter labels. Added PUMF 2019-2021.",""
"SMKG01C_cont","N/A","cont","cchs2001_p, cchs2003_p","cchs2001_p::SMKAG01C, cchs2003_p::SMKCG01C","","cat","22","10","20-24 years","Midpoint of 20-24 years","years","4","20-24 years","Age 1st cig (grouped)","Age first cigarette grouped","PUMF: midpoint imputation from grouped categories","3.0.0-alpha","2026-01-04","active","Removed _s/_i. Shorter labels. Added PUMF 2019-2021.",""
"SMKG01C_cont","N/A","cont","cchs2005_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2021_p","cchs2005_p::SMKEG01C, cchs2009_2010_p::SMKG01C, cchs2011_2012_p::SMKG01C, cchs2013_2014_p::SMKG01C, cchs2015_2016_p::SMKG035, cchs2017_2018_p::SMKG035, cchs2019_2020_p::SMKG035, cchs2021_p::SMKG035","","cat","22","11","20-24 years","Midpoint of 20-24 years","years","5","20-24 years","Age 1st cig (grouped)","Age first cigarette grouped","PUMF: midpoint imputation from grouped categories","3.0.0-alpha","2026-01-04","active","Removed _s/_i. Shorter labels. Added PUMF 2019-2021.",""
"SMKG01C_cont","N/A","cont","cchs2001_p, cchs2003_p","cchs2001_p::SMKAG01C, cchs2003_p::SMKCG01C","","cat","27","10","25-29 years","Midpoint of 25-29 years","years","5","25-29 years","Age 1st cig (grouped)","Age first cigarette grouped","PUMF: midpoint imputation from grouped categories","3.0.0-alpha","2026-01-04","active","Removed _s/_i. Shorter labels. Added PUMF 2019-2021.",""
"SMKG01C_cont","N/A","cont","cchs2005_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2021_p","cchs2005_p::SMKEG01C, cchs2009_2010_p::SMKG01C, cchs2011_2012_p::SMKG01C, cchs2013_2014_p::SMKG01C, cchs2015_2016_p::SMKG035, cchs2017_2018_p::SMKG035, cchs2019_2020_p::SMKG035, cchs2021_p::SMKG035","","cat","27","11","25-29 years","Midpoint of 25-29 years","years","6","25-29 years","Age 1st cig (grouped)","Age first cigarette grouped","PUMF: midpoint imputation from grouped categories","3.0.0-alpha","2026-01-04","active","Removed _s/_i. Shorter labels. Added PUMF 2019-2021.",""
"SMKG01C_cont","N/A","cont","cchs2001_p, cchs2003_p","cchs2001_p::SMKAG01C, cchs2003_p::SMKCG01C","","cat","32","10","30-34 years","Midpoint of 30-34 years","years","6","30-34 years","Age 1st cig (grouped)","Age first cigarette grouped","PUMF: midpoint imputation from grouped categories","3.0.0-alpha","2026-01-04","active","Removed _s/_i. Shorter labels. Added PUMF 2019-2021.",""
