"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES.confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","version","lastUpdated","status","reviewNotes","review"
"SMKDVSTP","N/A","cont","cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m","cchs2003_m::SMKCDSTP, cchs2005_m::SMKEDSTP, cchs2007_2008_m::SMKDSTP, cchs2009_2010_m::SMKDSTP, cchs2011_2012_m::SMKDSTP, cchs2013_2014_m::SMKDSTP, cchs2015_2016_m::SMKDVSTP, cchs2017_2018_m::SMKDVSTP, cchs2019_2020_m::SMKDVSTP, cchs2021_m::SMKDVSTP, cchs2022_m::SMKDVSTP","","cont","NA::a","N/A","N/A","Not applicable","years","996","Not applicable","Yrs quit (M)","Years since quit smoking completely (Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. Master continuous pass-through.",""
"SMKDVSTP","N/A","cont","cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m","cchs2003_m::SMKCDSTP, cchs2005_m::SMKEDSTP, cchs2007_2008_m::SMKDSTP, cchs2009_2010_m::SMKDSTP, cchs2011_2012_m::SMKDSTP, cchs2013_2014_m::SMKDSTP, cchs2015_2016_m::SMKDVSTP, cchs2017_2018_m::SMKDVSTP, cchs2019_2020_m::SMKDVSTP, cchs2021_m::SMKDVSTP, cchs2022_m::SMKDVSTP","","cont","NA::b","N/A","N/A","Catch-all missing","years","else","else","Yrs quit (M)","Years since quit smoking completely (Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. Master continuous pass-through.",""
"SMKDVSTP","N/A","cont","cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m","cchs2003_m::SMKCDSTP, cchs2005_m::SMKEDSTP, cchs2007_2008_m::SMKDSTP, cchs2009_2010_m::SMKDSTP, cchs2011_2012_m::SMKDSTP, cchs2013_2014_m::SMKDSTP, cchs2015_2016_m::SMKDVSTP, cchs2017_2018_m::SMKDVSTP, cchs2019_2020_m::SMKDVSTP, cchs2021_m::SMKDVSTP, cchs2022_m::SMKDVSTP","","cont","NA::b","N/A","N/A","Don't know/Refusal/Not stated","years","[97,99]","Missing","Yrs quit (M)","Years since quit smoking completely (Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. Master continuous pass-through.",""
"SMKDVSTP","N/A","cont","cchs2003_m, cchs2005_m","cchs2003_m::SMKCDSTP, cchs2005_m::SMKEDSTP","","cont","copy","N/A","N/A","Years since quit","years","[0,79]","Years since quit","Yrs quit (M)","Years since quit smoking completely (Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. Master continuous pass-through.",""
"SMKDVSTP","N/A","cont","cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","[SMKDSTP]","","cont","copy","N/A","N/A","Years since quit","years","[0,82]","Years since quit","Yrs quit (M)","Years since quit smoking completely (Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. Master continuous pass-through.",""
"SMKDVSTP","N/A","cont","cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m","[SMKDVSTP]","","cont","copy","N/A","N/A","Years since quit","years","[0,88]","Years since quit","Yrs quit (M)","Years since quit smoking completely (Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. Master continuous pass-through.",""
"SMKDGSTP","SMKDGSTP_0","cat","cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP","","cat","0","5","<1 year","Less than 1 year","N/A","0","<1 year","Yrs quit (P cat)","Years since quit smoking (PUMF grouped categorical)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF categorical 2015+ only. DDI shows 5 categories (0-4).",""
"SMKDGSTP","SMKDGSTP_1","cat","cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP","","cat","1","5","1-2 years","1 to 2 years","N/A","1","1-2 years","Yrs quit (P cat)","Years since quit smoking (PUMF grouped categorical)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF categorical 2015+ only. DDI shows 5 categories (0-4).",""
"SMKDGSTP","SMKDGSTP_2","cat","cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP","","cat","2","5","3-5 years","3 to 5 years","N/A","2","3-5 years","Yrs quit (P cat)","Years since quit smoking (PUMF grouped categorical)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF categorical 2015+ only. DDI shows 5 categories (0-4).",""
"SMKDGSTP","SMKDGSTP_3","cat","cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP","","cat","3","5","6-10 years","6 to 10 years","N/A","3","6-10 years","Yrs quit (P cat)","Years since quit smoking (PUMF grouped categorical)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF categorical 2015+ only. DDI shows 5 categories (0-4).",""
