"variable","label","labelLong","variableType","databaseStart","variableStart","subject","section","units","notes","description","version","lastUpdated","reviewNotes","ICES.confirmation","Observation..MD.","status"
"SMKDVSTP","Yrs quit smoking","Years since quit smoking completely (Master continuous)","Continuous","cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2003_m::SMKCDSTP, cchs2005_m::SMKEDSTP, cchs2007_2008_m::SMKDSTP, cchs2009_2010_m::SMKDSTP, cchs2011_2012_m::SMKDSTP, cchs2013_2014_m::SMKDSTP, cchs2015_2016_m::SMKDVSTP, cchs2017_2018_m::SMKDVSTP, cchs2019_2020_m::SMKDVSTP, cchs2021_m::SMKDVSTP, cchs2022_m::SMKDVSTP, cchs2023_m::SMKDVSTP","smoking","Health behaviour","years","Universe: former smokers. Master file only. StatCan derived continuous (0-88 years). Not available 2001.","StatCan derived variable for years since completely quit smoking.","3.0.0-alpha","2026-01-05","Split from SMKDSTP 2026-01-05. Master continuous pass-through.",,,"active"
"SMKDGSTP","Yrs quit (P cat)","Years since quit smoking completely (PUMF grouped categorical)","Categorical","cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP","smoking","Health behaviour","N/A","Universe: former smokers. PUMF 2015+ only. Grouped categories: 0=<1yr, 1=1-2yr, 2=3-5yr, 3=6-10yr, 4=11+yr.","StatCan derived variable grouped for disclosure control.","3.0.0-alpha","2026-01-05","Split from SMKDSTP 2026-01-05. PUMF categorical 2015+ only.",,,"active"
"SMKDGSTP_cont","Yrs quit smoking*","Years since quit smoking completely","Continuous","cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2007_2008_p::SMKDSTP, cchs2009_2010_p::SMKDSTP, cchs2011_2012_p::SMKDSTP, cchs2013_2014_p::SMKDSTP, cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP, cchs2003_m::SMKCDSTP, cchs2005_m::SMKEDSTP, cchs2007_2008_m::SMKDSTP, cchs2009_2010_m::SMKDSTP, cchs2011_2012_m::SMKDSTP, cchs2013_2014_m::SMKDSTP, cchs2015_2016_m::SMKDVSTP, cchs2017_2018_m::SMKDVSTP, cchs2019_2020_m::SMKDVSTP, cchs2021_m::SMKDVSTP, cchs2022_m::SMKDVSTP, cchs2023_m::SMKDVSTP","smoking","Health behaviour","years","Universe: former smokers. PUMF 2007-2014: pass-through continuous; PUMF 2015+: midpoint from SMKDGSTP; Master: pass-through continuous. Not available 2001, 2003-2005 PUMF.","Unified continuous years since quit. PUMF pre-2015 continuous, PUMF 2015+ midpoint imputed, Master continuous pass-through.","3.0.0-alpha","2026-01-05","Split from SMKDSTP 2026-01-05. Follows 02-initiation _cont pattern.",,,"active"
"SMKG06C","Yrs quit occ","Years since stopped smoking - never daily occasional (PUMF categorical)","Categorical","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","cchs2003_p::SMKCG06C, cchs2005_p::SMKEG06C, [SMKG06C]","smoking","Health behaviour","years","Universe: former occasional (never daily). PUMF categorical.","","3.0.0-alpha","2026-01-04","Added from variable_details_draft.csv",,,"active"
"SMKG09C","Yrs quit daily","Years since stopped smoking daily - former daily (PUMF categorical)","Categorical","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","cchs2003_p::SMKCG09C, cchs2005_p::SMKEG09C, cchs2015_2016_p::SMKG090, cchs2017_2018_p::SMKG090, [SMKG09C]","smoking","Health behaviour","years","Universe: former daily smokers. PUMF categorical.","","3.0.0-alpha","2026-01-04","Added from variable_details_draft.csv",,,"active"
"SMKG09C_cont","Yrs quit daily","Years since stopped smoking daily - former daily (PUMF continuous derived)","Continuous","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","cchs2003_p::SMKCG09C, cchs2005_p::SMKEG09C, cchs2015_2016_p::SMKG090, cchs2017_2018_p::SMKG090, [SMKG09C]","smoking","Health behaviour","years","Universe: former daily smokers. PUMF continuous derived. {recommended:secondary}","","3.0.0-alpha","2026-01-04","Added from variable_details_draft.csv",,,"active"
"SMK_06A_A","Quit time occ (A)","When stopped smoking - never daily occasional (pre-2015 categorical)","Categorical","cchs2001_p, cchs2001_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","[SMKA_06A]","smoking","Health behaviour","N/A","Universe: former occasional (never daily). Pre-2015 categorical.","","3.0.0-alpha","2026-01-04","Added from variable_details_draft.csv",,,"active"
"SMK_06A_B","Quit time occ (B)","When stopped smoking - never daily occasional (2015+ categorical)","Categorical","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2003_p::SMKC_06A, cchs2005_p::SMKE_06A, cchs2015_2016_p::SMK_060, cchs2017_2018_p::SMK_060, cchs2003_m::SMKC_06A, cchs2005_m::SMKE_06A,  cchs2015_2016_m::SMK_060, cchs2017_2018_m::SMK_060, cchs2019_2020_m::SMK_060, cchs2021_m::SMK_060, cchs2023_m::SPU_10, [SMK_06A]","smoking","Health behaviour","N/A","Universe: former occasional (never daily). 2015+ categorical.","","3.0.0-alpha","2026-01-04","Added from variable_details_draft.csv",,,"active"
"SMK_06A_cont","Yrs quit (occ)","Years since stopped smoking (former occasional smokers, continuous)","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2023_m","cchs2001_p::SMKA_06A, cchs2001_m::SMKA_06A, cchs2003_p::SMKC_06A, cchs2003_m::SMKC_06A, cchs2005_p::SMKE_06A, cchs2005_m::SMKE_06A, cchs2015_2016_p::SMK_060, cchs2015_2016_m::SMK_060, cchs2017_2018_p::SMK_060, cchs2017_2018_m::SMK_060, cchs2019_2020_m::SMK_060, cchs2021_m::SMK_060, cchs2023_m::SPU_10, [SMK_06A]","smoking","Health behaviour","years","Universe: former occasional smokers. Converts categorical SMK_06A/SPU_10 to pseudo-continuous using midpoint. Not available 2022 (no categorical - uses SPU_10A/B month/year). Use SMKDVSTP for 2022.","Pseudo-continuous years since stopped smoking for former occasional smokers. Derived from categorical using midpoint conversion.","3.0.0-alpha","2026-01-11","Removed cchs2022_m - 2022 uses month/year (SPU_10A/B) not categorical. Added cchs2023_m::SPU_10.",,,"active"
"SMK_06C","Yrs quit occ","Years since stopped smoking - never daily occasional (Master continuous)","Continuous","cchs2009_m, cchs2010_m, cchs2012_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2014_m","[SMK_06C]","smoking","Health behaviour","years","Universe: former occasional (never daily). Master file continuous.","","3.0.0-alpha","2026-01-04","Added from variable_details_draft.csv",,,"active"
