"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES.confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","version","lastUpdated","status","reviewNotes","review"
"cigs_per_day","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","DerivedVar::[SMK_204, SMK_208, SMKDSTY_A]","","cont","copy","N/A","Cigs/day (unified)","Cigarettes per day when smoking daily - unified","cigarettes","[1,99]","Cigarettes per day (1-99)","Cigs/day (unified)","Cigarettes per day when smoking daily - ever-daily smokers","Universe: ever-daily smokers (SMKDSTY_A 1, 2, 4). Routes SMK_204 for status 1, SMK_208 for status 2/4.","3.0.0-alpha","2026-01-09","active","Created for unified daily intensity variable",NA
"cigs_per_day","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","DerivedVar::[SMK_204, SMK_208, SMKDSTY_A]","","cont","NA::a","N/A","not applicable","not applicable","cigarettes","SMKDSTY_A in (3,5,6)","never-daily smokers (SMKDSTY_A 3, 5, 6)","Cigs/day (unified)","Cigarettes per day when smoking daily - ever-daily smokers","Universe: ever-daily smokers (SMKDSTY_A 1, 2, 4). Routes SMK_204 for status 1, SMK_208 for status 2/4.","3.0.0-alpha","2026-01-09","active","Created for unified daily intensity variable",NA
"cigs_per_day","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","DerivedVar::[SMK_204, SMK_208, SMKDSTY_A]","","cont","NA::b","N/A","Missing","missing","cigarettes","is.na(SMK_204) & is.na(SMK_208)","missing source data","Cigs/day (unified)","Cigarettes per day when smoking daily - ever-daily smokers","Universe: ever-daily smokers (SMKDSTY_A 1, 2, 4). Routes SMK_204 for status 1, SMK_208 for status 2/4.","3.0.0-alpha","2026-01-09","active","Created for unified daily intensity variable",NA
"cigs_per_day","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","DerivedVar::[SMK_204, SMK_208, SMKDSTY_A]","","cont","NA::b","N/A","Missing","missing","cigarettes","else","else","Cigs/day (unified)","Cigarettes per day when smoking daily - ever-daily smokers","Universe: ever-daily smokers (SMKDSTY_A 1, 2, 4). Routes SMK_204 for status 1, SMK_208 for status 2/4.","3.0.0-alpha","2026-01-09","active","Created for unified daily intensity variable",NA
"SMK_204","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2001_p::SMKA_204, cchs2003_p::SMKC_204, cchs2005_p::SMKE_204, cchs2015_2016_p::SMK_045, cchs2017_2018_p::SMK_045, [SMK_204]","ICES confirmed","cont","copy","N/A","Cigs/day - daily","# of cigarettes smoked daily - daily smoker","cigarettes","[1,99]","# of cigarettes smoked daily - daily smoker","Cigarettes/day - daily","# of cigarettes smoked daily - daily smoker","","3.0.0-alpha","2026-01-04","active","Migrated from production. Converted deprecated _i suffix to _m. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",NA
"SMK_204","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2001_p::SMKA_204, cchs2003_p::SMKC_204, cchs2005_p::SMKE_204, cchs2015_2016_p::SMK_045, cchs2017_2018_p::SMK_045, [SMK_204]","ICES confirmed","cont","NA::a","N/A","not applicable","not applicable","cigarettes","996","not applicable","Cigarettes/day - daily","# of cigarettes smoked daily - daily smoker","","3.0.0-alpha","2026-01-04","active","Migrated from production. Converted deprecated _i suffix to _m. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",NA
"SMK_204","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2001_p::SMKA_204, cchs2003_p::SMKC_204, cchs2005_p::SMKE_204, cchs2015_2016_p::SMK_045, cchs2017_2018_p::SMK_045, [SMK_204]","ICES confirmed","cont","NA::b","N/A","Missing","missing","cigarettes","[997,999]","don't know (997); refusal (998); not stated (999)","Cigarettes/day - daily","# of cigarettes smoked daily - daily smoker","","3.0.0-alpha","2026-01-04","active","Migrated from production. Converted deprecated _i suffix to _m. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",NA
"SMK_204","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2001_p::SMKA_204, cchs2003_p::SMKC_204, cchs2005_p::SMKE_204, cchs2015_2016_p::SMK_045, cchs2017_2018_p::SMK_045, [SMK_204]","ICES confirmed","cont","NA::b","N/A","Missing","missing","cigarettes","else","else","Cigarettes/day - daily","# of cigarettes smoked daily - daily smoker","","3.0.0-alpha","2026-01-04","active","Migrated from production. Converted deprecated _i suffix to _m. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",NA
"SMK_05B","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2001_p::SMKA_05B, cchs2003_p::SMKC_05B, cchs2005_p::SMKE_05B, cchs2015_2016_p::SMK_050, cchs2017_2018_p::SMK_050, [SMK_05B]","ICES confirmed","cont","copy","N/A","Cigs/day - occ","# of cigarettes smoked daily - daily smoker","cigarettes","[1,99]","# of cigarettes smoked daily - occasional smoker","Cigs/day - occ","# of cigarettes smoked daily - occasional smoker","","3.0.0-alpha","2026-01-04","active","Migrated from production. Converted deprecated _i suffix to _m. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",NA
"SMK_05B","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2001_p::SMKA_05B, cchs2003_p::SMKC_05B, cchs2005_p::SMKE_05B, cchs2015_2016_p::SMK_050, cchs2017_2018_p::SMK_050, [SMK_05B]","ICES confirmed","cont","NA::a","N/A","not applicable","not applicable","cigarettes","996","not applicable","Cigs/day - occ","# of cigarettes smoked daily - occasional smoker","","3.0.0-alpha","2026-01-04","active","Migrated from production. Converted deprecated _i suffix to _m. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",NA
