"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES.confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","version","lastUpdated","status","reviewNotes","review"
"pack_years_der","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","DerivedVar::[SMKDSTY_A, DHHGAGE_cont, SMKG203_cont, SMKG207_cont, SMKG01C_cont, time_quit_smoking, SMK_204, SMK_208, SMK_05B, SMK_05C, SMK_01A]",,"N/A","Func::calculate_pack_years","N/A","N/A","N/A","pack-years","[0,165]","Pack-years (PUMF)","Pack-years","Cumulative smoking exposure in pack-years","PUMF wrapper using midpoint-derived age variables. Valid output range: 0-165 pack-years (evidence-based from ATBC and Pain & Health studies).","3.0.0-alpha","2026-01-04","active","Clearer labels. Added Master 2001-2023, PUMF 2001-2018. Evidence-based range [0,165]. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",
"pack_years_der","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","DerivedVar::[SMKDSTY_A, DHHGAGE_cont, SMKG203_cont, SMKG207_cont, SMKG01C_cont, time_quit_smoking, SMK_204, SMK_208, SMK_05B, SMK_05C, SMK_01A]",,"N/A","NA::a","N/A","Not applicable","Not applicable (never smoker)","pack-years","N/A","Not applicable","Pack-years","Cumulative smoking exposure in pack-years","Valid skip - never smoker (SMKDSTY_A=6)","3.0.0-alpha","2026-01-04","active","Clearer labels. Added Master 2001-2023, PUMF 2001-2018. Evidence-based range [0,165]. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",
"pack_years_der","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","DerivedVar::[SMKDSTY_A, DHHGAGE_cont, SMKG203_cont, SMKG207_cont, SMKG01C_cont, time_quit_smoking, SMK_204, SMK_208, SMK_05B, SMK_05C, SMK_01A]",,"N/A","NA::b","N/A","Missing","Missing input data","pack-years","N/A","Missing","Pack-years","Cumulative smoking exposure in pack-years","Missing required input(s): status, age, initiation, or intensity","3.0.0-alpha","2026-01-04","active","Clearer labels. Added Master 2001-2023, PUMF 2001-2018. Evidence-based range [0,165]. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",
"pack_years_der","N/A","cont","cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","DerivedVar::[SMKDSTY_A, DHH_AGE, SMK_203, SMK_207, SMK_01C, time_quit_smoking, SMK_204, SMK_208, SMK_05B, SMK_05C, SMK_01A]",,"N/A","Func::calculate_pack_years","N/A","N/A","N/A","pack-years","[0,165]","Pack-years (Master)","Pack-years","Cumulative smoking exposure in pack-years","Master wrapper using true continuous age variables. Valid output range: 0-165 pack-years (evidence-based from ATBC and Pain & Health studies).","3.0.0-alpha","2026-01-04","active","Clearer labels. Added Master 2001-2023, PUMF 2001-2018. Evidence-based range [0,165].",
"pack_years_der","N/A","cont","cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","DerivedVar::[SMKDSTY_A, DHH_AGE, SMK_203, SMK_207, SMK_01C, time_quit_smoking, SMK_204, SMK_208, SMK_05B, SMK_05C, SMK_01A]",,"N/A","NA::a","N/A","Not applicable","Not applicable (never smoker)","pack-years","N/A","Not applicable","Pack-years","Cumulative smoking exposure in pack-years","Valid skip - never smoker (SMKDSTY_A=6)","3.0.0-alpha","2026-01-04","active","Clearer labels. Added Master 2001-2023, PUMF 2001-2018. Evidence-based range [0,165].",
"pack_years_der","N/A","cont","cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","DerivedVar::[SMKDSTY_A, DHH_AGE, SMK_203, SMK_207, SMK_01C, time_quit_smoking, SMK_204, SMK_208, SMK_05B, SMK_05C, SMK_01A]",,"N/A","NA::b","N/A","Missing","Missing input data","pack-years","N/A","Missing","Pack-years","Cumulative smoking exposure in pack-years","Missing required input(s): status, age, initiation, or intensity","3.0.0-alpha","2026-01-04","active","Clearer labels. Added Master 2001-2023, PUMF 2001-2018. Evidence-based range [0,165].",
"pack_years_cat","N/A","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","DerivedVar::[pack_years_der]",,"N/A","Func::calculate_pack_years_categorical","5","N/A","N/A","N/A","N/A","Pack-years category","Pack-years (5-cat)","Cumulative smoking exposure in pack-years (5-category)","DEFERRED: Category boundaries pending epidemiological review.","3.0.0-alpha","2026-01-04","pending_review","Category cut-points (0, <10, 10-20, 20-30, 30+) require validation against epidemiological literature before activation. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",
"pack_years_cat","pack_years_cat_0","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","DerivedVar::[pack_years_der]",,"N/A","0","5","Never smoker","Never smoker (0 pack-years)","","0","Never smoker","Pack-years (5-cat)","Cumulative smoking exposure in pack-years (5-category)","pack_years_der == 0","3.0.0-alpha","2026-01-04","pending_review","Clearer labels. 5-category. Status=pending: cut-points need epi review. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",
"pack_years_cat","pack_years_cat_1","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","DerivedVar::[pack_years_der]",,"N/A","1","5","Light (<10)","Light smoker (less than 10 pack-years)","","[0.001,9.999]","Light","Pack-years (5-cat)","Cumulative smoking exposure in pack-years (5-category)","pack_years_der > 0 & pack_years_der < 10","3.0.0-alpha","2026-01-04","pending_review","Clearer labels. 5-category. Status=pending: cut-points need epi review. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",
"pack_years_cat","pack_years_cat_2","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","DerivedVar::[pack_years_der]",,"N/A","2","5","Moderate (10-20)","Moderate smoker (10 to less than 20 pack-years)","","[10,19.999]","Moderate","Pack-years (5-cat)","Cumulative smoking exposure in pack-years (5-category)","pack_years_der >= 10 & pack_years_der < 20","3.0.0-alpha","2026-01-04","pending_review","Clearer labels. 5-category. Status=pending: cut-points need epi review. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",
