variable,dummyVariable,typeEnd,databaseStart,variableStart,ICES.confirmation,typeStart,recEnd,numValidCat,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,variableStartLabel,notes,version,lastUpdated,status,reviewNotes,review
HUI07A,HUI07A_cat2_1,cat,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2013_2014_m","cchs2001_m::HUIA_07A, cchs2003_m::HUIC_07A, cchs2005_m::HUIE_07A, [HUI_07A]",ICES specific,cat,1,2,Yes,Yes,N/A,1,Yes,HUI Hearing,Hearing ability - Able to hear,,,,active,v3.0.0alpha,
HUI07A,HUI07A_cat2_2,cat,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2013_2014_m","cchs2001_m::HUIA_07A, cchs2003_m::HUIC_07A, cchs2005_m::HUIE_07A, [HUI_07A]",ICES specific,cat,2,2,No,No,N/A,2,No,HUI Hearing,Hearing ability - Able to hear,,,,active,v3.0.0alpha,
HUI07A,HUI07A_cat2_NAa,cat,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2013_2014_m","cchs2001_m::HUIA_07A, cchs2003_m::HUIC_07A, cchs2005_m::HUIE_07A, [HUI_07A]",ICES specific,cat,NA::a,2,Not applicable,Not applicable,N/A,6,Not applicable,HUI Hearing,Hearing ability - Able to hear,,,,active,v3.0.0alpha,
HUI07A,HUI07A_cat2_NAb,cat,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2013_2014_m","cchs2001_m::HUIA_07A, cchs2003_m::HUIC_07A, cchs2005_m::HUIE_07A, [HUI_07A]",ICES specific,cat,NA::b,2,Missing,Missing,N/A,"[7,9]",Don't know / Refused,HUI Hearing,Hearing ability - Able to hear,,,,active,v3.0.0alpha,
HUI07A,HUI07A_cat2_NAb,cat,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2013_2014_m","cchs2001_m::HUIA_07A, cchs2003_m::HUIC_07A, cchs2005_m::HUIE_07A, [HUI_07A]",ICES specific,cat,NA::b,2,Missing,Missing,N/A,else,Not stated,HUI Hearing,Hearing ability - Able to hear,,,,active,v3.0.0alpha,
HUI07A,HUI07A_cat2_1,cat,cchs2017_2018_m,[WDM_101],ICES specific,cat,1,2,Yes,Yes,N/A,1,No difficulty,HUI Hearing,Hearing ability - Able to hear,,,,active,v3.0.0alpha,
HUI07A,HUI07A_cat2_1,cat,cchs2017_2018_m,[WDM_101],ICES specific,cat,1,2,Yes,Yes,N/A,2,Some difficulty,HUI Hearing,Hearing ability - Able to hear,,,,active,v3.0.0alpha,
HUI07A,HUI07A_cat2_1,cat,cchs2017_2018_m,[WDM_101],ICES specific,cat,1,2,Yes,Yes,N/A,3,A lot of difficulty,HUI Hearing,Hearing ability - Able to hear,,,,active,v3.0.0alpha,
HUI07A,HUI07A_cat2_2,cat,cchs2017_2018_m,[WDM_101],ICES specific,cat,2,2,No,No,N/A,4,Cannot do at all,HUI Hearing,Hearing ability - Able to hear,,,,active,v3.0.0alpha,
HUI07A,HUI07A_cat2_NAa,cat,cchs2017_2018_m,[WDM_101],ICES specific,cat,NA::a,2,Not applicable,Not applicable,N/A,6,Not applicable,HUI Hearing,Hearing ability - Able to hear,,,,active,v3.0.0alpha,
