"variable","description"
"SLP_02","Sleep module was Optional Content from 2007-2018. Provincial availability varies by cycle. 2001 uses incompatible 3-point scale (see SLP_02_A)."
"SLP_02_A","2001 uses 3-point scale (Most/Sometimes/Never) with inverted direction (lower=worse). Not directly comparable to 2007+ 5-point scale."
"SLP_03","Sleep module was Optional Content from 2007-2018. Provincial availability varies by cycle. 2001 uses incompatible 3-point scale (see SLP_03_A)."
"SLP_03_A","2001 uses 3-point scale (Most/Sometimes/Never) with inverted direction (lower=worse). Not directly comparable to 2007+ 5-point scale."
"SLP_04","Sleep module was Optional Content from 2007-2018. Provincial availability varies by cycle. 2001 uses incompatible 3-point scale (see SLP_04_A)."
"SLP_04_A","2001 uses 3-point scale (Most/Sometimes/Never) with inverted direction (lower=worse). Not directly comparable to 2007+ 5-point scale."
"SLPG01","Sleep module was Optional Content from 2007-2018. Provincial availability varies by cycle."
"SLPG01_A","Sleep module was Optional Content from 2007-2018. Provincial availability varies by cycle."
"SLPG01_B","Sleep module was Optional Content from 2007-2018. Provincial availability varies by cycle."
"SLPG01_C","Sleep module was Optional Content from 2007-2018. Provincial availability varies by cycle."
"SLPG01_cont","Sleep module was Optional Content from 2007-2018. Provincial availability varies by cycle."
