"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES.confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","version","lastUpdated","status","reviewNotes","versionNotes","review"
"pct_time_der_cat10","pct_time_der_cat10N/A_Func::pct_time_fun_cat","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","DerivedVar::[pct_time_der]","","N/A","Func::categorize_pct_time","N/A","N/A","N/A","%","N/A","N/A","Categorical percent time in Canada","Categorical percentage of time in Canada","Categorical percent time in Canada derived from pct_time_der","2.2.0","2025-11-18","active","","",""
"pct_time_der_cat10","pct_time_der_cat10_1","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","DerivedVar::[pct_time_der]","","N/A","1","10","10%","10% time in Canada","%","1","10% time in Canada","Categorical percent time in Canada","Categorical percentage of time in Canada","","2.2.0","2025-11-18","active","","",""
"pct_time_der_cat10","pct_time_der_cat10_2","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","DerivedVar::[pct_time_der]","","N/A","2","10","20%","20% time in Canada","%","2","20% time in Canada","Categorical percent time in Canada","Categorical percentage of time in Canada","","2.2.0","2025-11-18","active","","",""
"pct_time_der_cat10","pct_time_der_cat10_3","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","DerivedVar::[pct_time_der]","","N/A","3","10","30%","30% time in Canada","%","3","30% time in Canada","Categorical percent time in Canada","Categorical percentage of time in Canada","","2.2.0","2025-11-18","active","","",""
"pct_time_der_cat10","pct_time_der_cat10_4","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","DerivedVar::[pct_time_der]","","N/A","4","10","40%","40% time in Canada","%","4","40% time in Canada","Categorical percent time in Canada","Categorical percentage of time in Canada","","2.2.0","2025-11-18","active","","",""
"pct_time_der_cat10","pct_time_der_cat10_5","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","DerivedVar::[pct_time_der]","","N/A","5","10","50%","50% time in Canada","%","5","50% time in Canada","Categorical percent time in Canada","Categorical percentage of time in Canada","","2.2.0","2025-11-18","active","","",""
"pct_time_der_cat10","pct_time_der_cat10_6","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","DerivedVar::[pct_time_der]","","N/A","6","10","60%","60% time in Canada","%","6","60% time in Canada","Categorical percent time in Canada","Categorical percentage of time in Canada","","2.2.0","2025-11-18","active","","",""
"pct_time_der_cat10","pct_time_der_cat10_7","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","DerivedVar::[pct_time_der]","","N/A","7","10","70%","70% time in Canada","%","7","70% time in Canada","Categorical percent time in Canada","Categorical percentage of time in Canada","","2.2.0","2025-11-18","active","","",""
"pct_time_der_cat10","pct_time_der_cat10_8","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","DerivedVar::[pct_time_der]","","N/A","8","10","80%","80% time in Canada","%","8","80% time in Canada","Categorical percent time in Canada","Categorical percentage of time in Canada","","2.2.0","2025-11-18","active","","",""
"pct_time_der_cat10","pct_time_der_cat10_9","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","DerivedVar::[pct_time_der]","","N/A","9","10","90%","90% time in Canada","%","9","90% time in Canada","Categorical percent time in Canada","Categorical percentage of time in Canada","","2.2.0","2025-11-18","active","","",""
