variable,label,labelLong,variableType,databaseStart,variableStart,subject,section,units,notes,description,version,lastUpdated,reviewNotes,ICES.confirmation,Observation..MD.,status,versionNotes
SDC_5A_1,Knowledge of official languages,Knowledge of official languages,Categorical,"cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2012_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2015_2016_p::SDC_025, cchs2017_2018_p::SDC_025, cchs2011_2012_m::SDC_5A_1, cchs2013_2014_m::SDC_5A_1, cchs2015_2016_m::SDC_025, cchs2017_2018_m::SDC_025, cchs2019_2020_m::SDC_025, cchs2021_m::SDC_025, cchs2022_m::LAN_01, cchs2023_m::LAN_01, [SDC_5A_1]",Language,Sociodemographics,N/A,,,2.2.0,2025-06-30,Variable metadata completed,,,active,
SDCDCGT_cat13,Ethnicity,Cultural or racial origin - (D),Categorical,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, cchs2015_2016_m::SDCDVCGT, cchs2017_2018_m::SDCDVCGT, [SDCDCGT]",Ethnicity,Sociodemographics,N/A,,,2.2.0,2026-02-13,Variable metadata completed,Yes,,active,
SDCDCGT_cat7,Ethnicity,Cultural origin,Categorical,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, cchs2015_2016_m::SDCDVCGT, cchs2017_2018_m::SDCDVCGT, [SDCDCGT]",Ethnicity,Sociodemographics,N/A,,,2.2.0,2026-02-13,Variable metadata completed,Yes,,active,
SDCDFOLS,First official language spoken,First official language spoken,Categorical,"cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2012_m","cchs2015_2016_p::SDCDVFLS, cchs2017_2018_p::SDCDVFLS, [SDCDFOLS]",Language,Sociodemographics,N/A,,,2.2.0,2025-06-30,Variable metadata completed,,,active,
SDCDVABT,Aboriginal/Indigenous identity,Aboriginal/Indigenous Identity - (D),Categorical,"cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2022_p","cchs2005_m::SDCEFABT, cchs2007_2008_m::SDCDABT, cchs2009_2010_m::SDCDABT, cchs2009_m::SDCDABT, cchs2010_m::SDCDABT, cchs2011_2012_m::SDCDABT, cchs2012_m::SDCDABT, cchs2013_2014_m::SDCDABT, cchs2015_2016_p::SDC_015, cchs2017_2018_p::SDC_015, cchs2019_2020_p::SDC_015, [SDCDVABT]",Ethnicity,Sociodemographics,N/A,,,3.0.0,2026-02-13,Variable metadata completed,,,active,
SDCFIMM,Immigrant status,Immigrant Status (D),Categorical,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2022_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SDCAFIMM, cchs2003_p::SDCCFIMM, cchs2005_p::SDCEFIMM, cchs2015_2016_p::SDCDVIMM, cchs2017_2018_p::SDCDVIMM, cchs2019_2020_p::SDCDVIMM, cchs2022_p::SDCDGIMM, cchs2001_m::SDCAFIMM, cchs2003_m::SDCCFIMM, cchs2005_m::SDCEFIMM, cchs2015_2016_m::SDCDVIMM, cchs2017_2018_m::SDCDVIMM, cchs2019_2020_m::SDCDVIMM, cchs2021_m::SDCDVIMM, cchs2022_m::SDCDVIMM, cchs2023_m::SDCDVIMM, [SDCFIMM]",Migration,Sociodemographics,N/A,,,2.2.0,2026-02-13,Variable metadata completed,Yes,,active,
SDCGCBG,Country of birth,Country of birth - (G),Categorical,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m","cchs2001_p::SDCAGCBG, cchs2003_p::SDCCGCBG, cchs2005_p::SDCEGCBG, cchs2011_2012_p::SDCGCB12, cchs2013_2014_p::SDCGCB13, cchs2014_p::SDCGCB13, cchs2015_2016_p::SDCDGCB, cchs2017_2018_p::SDCDGCB, cchs2009_m::SDCGCB, cchs2010_m::SDCGCB, cchs2012_m::SDCGCB10, [SDCGCBG]",Migration,Sociodemographics,N/A,,,2.2.0,2025-06-30,Variable metadata completed,,,active,
SDCGCBG_A,Country of birth,Country of birth - (G),Categorical,"cchs2009_m, cchs2010_m, cchs2012_m","cchs2012_m::SDCGCB10, [SDCGCB]",Migration,Sociodemographics,N/A,,,2.2.0,2025-06-30,Variable metadata completed,,,active,
SDCGCGT,Ethnicity,"Cultural or racial origin - (D, G)",Categorical,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::SDCAGRAC, cchs2003_p::SDCCGRAC, cchs2005_p::SDCEGCGT, cchs2015_2016_p::SDCDGCGT, cchs2017_2018_p::SDCDGCGT, [SDCGCGT]",Ethnicity,Sociodemographics,N/A,,,2.2.0,2026-02-13,Variable metadata completed,Yes,,active,
SDCGLHM,Language(s) spoken at home,Language(s) spoken at home,Categorical,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::SDCDGLHM, cchs2017_2018_p::SDCDGLHM, [SDCGLHM]",Language,Sociodemographics,N/A,,,2.2.0,2025-06-30,Variable metadata completed,,,active,
