variable,dummyVariable,typeEnd,databaseStart,variableStart,ICES.confirmation,typeStart,recEnd,numValidCat,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,variableStartLabel,notes,version,lastUpdated,status,reviewNotes,versionNotes,review
active_transport,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2001_m, cchs2003_m, cchs2005_m","DerivedVar::[PAC_4A_cont, PAC_4B_cont]",NA,N/A,Func::active_transport1_fun,N/A,N/A,N/A,mins,N/A,Daily active transportation,Daily active transportation,Time spent - active transportation daily,NA,2.2.0,2025-11-18,active,NA,NA,NA
active_transport,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m","DerivedVar::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont]",NA,N/A,Func::active_transport2_fun,N/A,N/A,N/A,mins,N/A,Daily active transportation,Daily active transportation,Time spent - active transportation daily,NA,2.2.0,2025-11-18,active,NA,NA,NA
active_transport,N/A,cont,"cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m","DerivedVar::[PAYDVTTR, PAADVTRV]",NA,N/A,Func::active_transport3_fun,N/A,N/A,N/A,mins,N/A,Daily active transportation,Daily active transportation,Time spent - active transportation daily,NA,2.2.0,2025-11-18,active,NA,NA,NA
active_transport,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m","cchs2001_p::[PAC_4A_cont, PAC_4B_cont], cchs2003_p::[PAC_4A_cont, PAC_4B_cont], cchs2005_p::[PAC_4A_cont, PAC_4B_cont], cchs2007_2008_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2009_2010_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2010_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2011_2012_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2012_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2013_2014_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2014_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2015_2016_p::[PAYDVTTR, PAADVTRV], cchs2017_2018_p::[PAYDVTTR, PAADVTRV], cchs2019_2020_p::[PAYDVTTR, PAADVTRV], cchs2001_m::[PAC_4A_cont, PAC_4B_cont], cchs2003_m::[PAC_4A_cont, PAC_4B_cont], cchs2005_m::[PAC_4A_cont, PAC_4B_cont], cchs2007_2008_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2009_2010_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2009_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2010_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2011_2012_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2012_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2013_2014_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2015_2016_m::[PAYDVTTR, PAADVTRV], cchs2017_2018_m::[PAYDVTTR, PAADVTRV], cchs2019_2020_m::[PAYDVTTR, PAADVTRV]",NA,N/A,NA::a,N/A,N/A,N/A,mins,N/A,Daily active transportation,Daily active transportation,Time spent - active transportation daily,NA,2.2.0,2025-11-18,active,NA,NA,NA
active_transport,N/A,cont,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m","cchs2001_p::[PAC_4A_cont, PAC_4B_cont], cchs2003_p::[PAC_4A_cont, PAC_4B_cont], cchs2005_p::[PAC_4A_cont, PAC_4B_cont], cchs2007_2008_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2009_2010_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2010_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2011_2012_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2012_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2013_2014_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2014_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2015_2016_p::[PAYDVTTR, PAADVTRV], cchs2017_2018_p::[PAYDVTTR, PAADVTRV], cchs2019_2020_p::[PAYDVTTR, PAADVTRV], cchs2001_m::[PAC_4A_cont, PAC_4B_cont], cchs2003_m::[PAC_4A_cont, PAC_4B_cont], cchs2005_m::[PAC_4A_cont, PAC_4B_cont], cchs2007_2008_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2009_2010_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2009_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2010_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2011_2012_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2012_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2013_2014_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2015_2016_m::[PAYDVTTR, PAADVTRV], cchs2017_2018_m::[PAYDVTTR, PAADVTRV], cchs2019_2020_m::[PAYDVTTR, PAADVTRV]",NA,N/A,NA::b,N/A,N/A,N/A,mins,N/A,Daily active transportation,Daily active transportation,Time spent - active transportation daily,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAADVTRV,N/A,cont,"cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m",[PAADVTRV],NA,cont,copy,N/A,No. minutes of active transportation,No. minutes of active transportation,minutes/week,"[0,10080]",No. minutes of active transportation,Active transportation (18+ years old),Time spent - active transportation in a week (18+ years old),NA,2.2.0,2025-11-18,active,NA,NA,NA
PAADVTRV,N/A,cont,"cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m",[PAADVTRV],NA,cont,NA::a,N/A,not applicable,not applicable,minutes/week,99996,not applicable,Active transportation (18+ years old),Time spent - active transportation in a week (18+ years old),NA,2.2.0,2025-11-18,active,NA,NA,NA
PAADVTRV,N/A,cont,"cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m",[PAADVTRV],NA,cont,NA::b,N/A,missing,missing,minutes/week,"[99997,99999]",don't know (99997); refusal (99998); not stated (99999),Active transportation (18+ years old),Time spent - active transportation in a week (18+ years old),NA,2.2.0,2025-11-18,active,NA,NA,NA
PAADVTRV,N/A,cont,"cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m",[PAADVTRV],NA,cont,NA::b,N/A,missing,missing,minutes/week,else,else,Active transportation (18+ years old),Time spent - active transportation in a week (18+ years old),NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_4A,PAC_4A_cat6_1,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2001_m, cchs2003_m, cchs2005_m","cchs2001_p::PACA_4A, cchs2003_p::PACC_4A, cchs2005_p::PACE_4A, cchs2001_m::PACA_4A, cchs2003_m::PACC_4A, cchs2005_m::PACE_4A",NA,cat,1,6,None,None,hours/week,1,None,Time walk work/school in week,"In a typical week in the past 3 months, how many hours did you usually spend walking to work or to school or while doing errands",NA,2.2.0,2025-11-18,active,NA,NA,NA
