variable,label,labelLong,variableType,databaseStart,variableStart,subject,section,units,notes,description,version,lastUpdated,reviewNotes,ICES.confirmation,Observation..MD.,status,versionNotes
active_transport,Daily active transportation,Time spent - active transportation daily,Continuous,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m","cchs2001_p::[PAC_4A_cont, PAC_4B_cont], cchs2003_p::[PAC_4A_cont, PAC_4B_cont], cchs2005_p::[PAC_4A_cont, PAC_4B_cont], cchs2007_2008_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2009_2010_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2010_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2011_2012_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2012_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2013_2014_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2014_p::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2015_2016_p::[PAYDVTTR, PAADVTRV], cchs2017_2018_p::[PAYDVTTR, PAADVTRV], cchs2019_2020_p::[PAYDVTTR, PAADVTRV], cchs2001_m::[PAC_4A_cont, PAC_4B_cont], cchs2003_m::[PAC_4A_cont, PAC_4B_cont], cchs2005_m::[PAC_4A_cont, PAC_4B_cont], cchs2007_2008_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2009_2010_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2009_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2010_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2011_2012_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2012_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2013_2014_m::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont], cchs2015_2016_m::[PAYDVTTR, PAADVTRV], cchs2017_2018_m::[PAYDVTTR, PAADVTRV], cchs2019_2020_m::[PAYDVTTR, PAADVTRV]",Exercise,Health behaviour,mins,Extended to 2019-2020 per L0-L4 analysis,NA,3.0.0,2026-01-18,Added cchs2019_2020_p per PAADVTRV/PAYDVTTR extension,NA,NA,active,"CEP-003: PA harmonization - 2019-2020 extension, PAADVWHO, label fixes"
PAADVTRV,Active transportation (18+ years old),Time spent - active transportation in a week (18+ years old),Continuous,"cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m",[PAADVTRV],Exercise,Health behaviour,minutes/week,Extended to 2019-2020 per DDI verification,NA,3.0.0,2026-01-18,Added cchs2019_2020_p per L0-L4 analysis,NA,NA,active,"CEP-003: PA harmonization - 2019-2020 extension, PAADVWHO, label fixes"
PAC_4A,Time walk work/school in week,"In a typical week in the past 3 months, how many hours did you usually spend walking to work or to school or while doing errands",Categorical,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2001_m, cchs2003_m, cchs2005_m","cchs2001_p::PACA_4A, cchs2003_p::PACC_4A, cchs2005_p::PACE_4A, cchs2001_m::PACA_4A, cchs2003_m::PACC_4A, cchs2005_m::PACE_4A",Exercise,Health behaviour,hours/week,NA,NA,2.2.0,2025-06-30,Variable metadata completed,NA,NA,active,NA
PAC_4A_cont,Time walk work/school in week,"In a typical week in the past 3 months, how many hours did you usually spend walking to work or to school or while doing errands",Continuous,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2001_m, cchs2003_m, cchs2005_m","cchs2001_p::PACA_4A, cchs2003_p::PACC_4A, cchs2005_p::PACE_4A, cchs2001_m::PACA_4A, cchs2003_m::PACC_4A, cchs2005_m::PACE_4A",Exercise,Health behaviour,hours/week,NA,NA,2.2.0,2025-06-30,Variable metadata completed,NA,NA,active,NA
PAC_4B,Time bike work/school in week,"In a typical week in the past 3 months, how many hours did you usually spend biking to work or to school or while doing errands",Categorical,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2001_m, cchs2003_m, cchs2005_m","cchs2001_p::PACA_4B, cchs2003_p::PACC_4B, cchs2005_p::PACE_4B, cchs2001_m::PACA_4B, cchs2003_m::PACC_4B, cchs2005_m::PACE_4B",Exercise,Health behaviour,hours/week,"Fixed label: was 'walking', should be 'biking'",NA,3.0.0,2026-01-18,Fixed label error: walking -> biking,NA,NA,active,"CEP-003: PA harmonization - 2019-2020 extension, PAADVWHO, label fixes"
PAC_4B_cont,Time bike work/school in week,"In a typical week in the past 3 months, how many hours did you usually spend walking to work or to school or while doing errands",Continuous,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2001_m, cchs2003_m, cchs2005_m","cchs2001_p::PACA_4B, cchs2003_p::PACC_4B, cchs2005_p::PACE_4B, cchs2001_m::PACA_4B, cchs2003_m::PACC_4B, cchs2005_m::PACE_4B",Exercise,Health behaviour,hours/week,NA,NA,2.2.0,2025-06-30,Variable metadata completed,NA,NA,active,NA
PAC_7,Walk to work/school,Walked to work or school / last 3 mo.,Categorical,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_7],Exercise,Health behaviour,N/A,NA,NA,2.2.0,2025-06-30,Variable metadata completed,NA,NA,active,NA
PAC_7A,Number times walk work/school,No. of times/3 mo./walking work/school,Continuous,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_7A],Exercise,Health behaviour,N/A,NA,NA,2.2.0,2025-06-30,Variable metadata completed,NA,NA,active,NA
PAC_7B,Time walk work/school,Time spent - walking to go work/school,Categorical,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_7B],Exercise,Health behaviour,mins,NA,NA,2.2.0,2025-06-30,Variable metadata completed,NA,NA,active,NA
PAC_7B_cont,Time walk work/school,Time spent - walking to go work/school,Continuous,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_7B],Exercise,Health behaviour,mins,NA,NA,2.2.0,2025-06-30,Variable metadata completed,NA,NA,active,NA
PAC_8,Bike to work/school,Bicycled to work or school / last 3 mo.,Categorical,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8],Exercise,Health behaviour,N/A,NA,NA,2.2.0,2025-06-30,Variable metadata completed,NA,NA,active,NA
PAC_8A,Number times bike work/school,No. of times/3 mo./bicycl. work/school,Continuous,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8A],Exercise,Health behaviour,times/3 mos.,NA,NA,2.2.0,2025-06-30,Variable metadata completed,NA,NA,active,NA
PAC_8B,Time bike work/school,Time spent - biking to go work/school,Categorical,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],Exercise,Health behaviour,N/A,NA,NA,2.2.0,2025-06-30,Variable metadata completed,NA,NA,active,NA
PAC_8B_cont,Time bike work/school,Time spent - biking to go work/school,Continuous,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],Exercise,Health behaviour,N/A,NA,NA,2.2.0,2025-06-30,Variable metadata completed,NA,NA,active,NA
PAYDVTTR,Active transportation (12-17 years old),Time spent - active transportation in a week (12-17 years old),Continuous,"cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m",[PAYDVTTR],Exercise,Health behaviour,minutes/week,Extended to 2019-2020 per DDI verification,NA,3.0.0,2026-01-18,Added cchs2019_2020_p per L0-L4 analysis,NA,NA,active,"CEP-003: PA harmonization - 2019-2020 extension, PAADVWHO, label fixes"
