"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES.confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","version","lastUpdated","status","reviewNotes","review"
"SMK_01A","SMK_01A_cat2_NAb","cat","cchs2001_m, cchs2001_p, cchs2003_m, cchs2003_p, cchs2005_m, cchs2005_p, cchs2015_2016_m, cchs2015_2016_p, cchs2017_2018_m, cchs2017_2018_p, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_01A, cchs2003_p::SMKC_01A, cchs2005_p::SMKE_01A, cchs2015_2016_p::SMK_020, cchs2017_2018_p::SMK_020, cchs2001_m::SMKA_01A, cchs2003_m::SMKC_01A, cchs2005_m::SMKE_01A, cchs2015_2016_m::SMK_020, cchs2017_2018_m::SMK_020, cchs2019_2020_m::SMK_020, cchs2021_m::SMK_020, cchs2022_m::CSS_15, cchs2023_m::CSS_15, [SMK_01A]","ICES confirmed","cat","NA::b","2","Missing","missing","N/A","[7,9]","don't know (7); refusal (8); not stated (9)","Smoked 100+ cigs","Ever smoked 100 or more cigarettes in lifetime","Available 2001-2021 PUMF, 2001-2023 Master. For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended from V2.1 with 2019-2023 Master coverage via CSS_15. PUMF coverage unchanged (ends 2021). Pass-through categorical variable.",""
"SMK_01A","SMK_01A_cat2_NAb","cat","cchs2001_m, cchs2001_p, cchs2003_m, cchs2003_p, cchs2005_m, cchs2005_p, cchs2015_2016_m, cchs2015_2016_p, cchs2017_2018_m, cchs2017_2018_p, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_01A, cchs2003_p::SMKC_01A, cchs2005_p::SMKE_01A, cchs2015_2016_p::SMK_020, cchs2017_2018_p::SMK_020, cchs2001_m::SMKA_01A, cchs2003_m::SMKC_01A, cchs2005_m::SMKE_01A, cchs2015_2016_m::SMK_020, cchs2017_2018_m::SMK_020, cchs2019_2020_m::SMK_020, cchs2021_m::SMK_020, cchs2022_m::CSS_15, cchs2023_m::CSS_15, [SMK_01A]","ICES confirmed","cat","NA::b","2","Missing","missing","N/A","else","else","Smoked 100+ cigs","Ever smoked 100 or more cigarettes in lifetime","Available 2001-2021 PUMF, 2001-2023 Master. For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended from V2.1 with 2019-2023 Master coverage via CSS_15. PUMF coverage unchanged (ends 2021). Pass-through categorical variable.",""
"SMK_01A","SMK_01A_cat2_2","cat","cchs2001_m, cchs2001_p, cchs2003_m, cchs2003_p, cchs2005_m, cchs2005_p, cchs2015_2016_m, cchs2015_2016_p, cchs2017_2018_m, cchs2017_2018_p, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_01A, cchs2003_p::SMKC_01A, cchs2005_p::SMKE_01A, cchs2015_2016_p::SMK_020, cchs2017_2018_p::SMK_020, cchs2001_m::SMKA_01A, cchs2003_m::SMKC_01A, cchs2005_m::SMKE_01A, cchs2015_2016_m::SMK_020, cchs2017_2018_m::SMK_020, cchs2019_2020_m::SMK_020, cchs2021_m::SMK_020, cchs2022_m::CSS_15, cchs2023_m::CSS_15, [SMK_01A]","ICES confirmed","cat","2","2","No","no","N/A","2","No","Smoked 100+ cigs","Ever smoked 100 or more cigarettes in lifetime","Available 2001-2021 PUMF, 2001-2023 Master. For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended from V2.1 with 2019-2023 Master coverage via CSS_15. PUMF coverage unchanged (ends 2021). Pass-through categorical variable.",""
"SMK_01A","SMK_01A_cat2_NAa","cat","cchs2001_m, cchs2001_p, cchs2003_m, cchs2003_p, cchs2005_m, cchs2005_p, cchs2015_2016_m, cchs2015_2016_p, cchs2017_2018_m, cchs2017_2018_p, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_01A, cchs2003_p::SMKC_01A, cchs2005_p::SMKE_01A, cchs2015_2016_p::SMK_020, cchs2017_2018_p::SMK_020, cchs2001_m::SMKA_01A, cchs2003_m::SMKC_01A, cchs2005_m::SMKE_01A, cchs2015_2016_m::SMK_020, cchs2017_2018_m::SMK_020, cchs2019_2020_m::SMK_020, cchs2021_m::SMK_020, cchs2022_m::CSS_15, cchs2023_m::CSS_15, [SMK_01A]","ICES confirmed","cat","NA::a","2","not applicable","not applicable","N/A","6","not applicable","Smoked 100+ cigs","Ever smoked 100 or more cigarettes in lifetime","Available 2001-2021 PUMF, 2001-2023 Master. For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended from V2.1 with 2019-2023 Master coverage via CSS_15. PUMF coverage unchanged (ends 2021). Pass-through categorical variable.",""
"SMK_01A","SMK_01A_cat2_1","cat","cchs2001_m, cchs2001_p, cchs2003_m, cchs2003_p, cchs2005_m, cchs2005_p, cchs2015_2016_m, cchs2015_2016_p, cchs2017_2018_m, cchs2017_2018_p, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_01A, cchs2003_p::SMKC_01A, cchs2005_p::SMKE_01A, cchs2015_2016_p::SMK_020, cchs2017_2018_p::SMK_020, cchs2001_m::SMKA_01A, cchs2003_m::SMKC_01A, cchs2005_m::SMKE_01A, cchs2015_2016_m::SMK_020, cchs2017_2018_m::SMK_020, cchs2019_2020_m::SMK_020, cchs2021_m::SMK_020, cchs2022_m::CSS_15, cchs2023_m::CSS_15, [SMK_01A]","ICES confirmed","cat","1","2","Yes","yes","N/A","1","Yes","Smoked 100+ cigs","Ever smoked 100 or more cigarettes in lifetime","Available 2001-2021 PUMF, 2001-2023 Master. For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended from V2.1 with 2019-2023 Master coverage via CSS_15. PUMF coverage unchanged (ends 2021). Pass-through categorical variable.",""
"SMK_05D","SMK_05D_cat2_1","cat","cchs2001_m, cchs2001_p, cchs2003_m, cchs2003_p, cchs2005_m, cchs2005_p, cchs2015_2016_m, cchs2015_2016_p, cchs2017_2018_m, cchs2017_2018_p, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_05D, cchs2003_p::SMKC_05D, cchs2005_p::SMKE_05D, cchs2015_2016_p::SMK_030, cchs2017_2018_p::SMK_030, cchs2001_m::SMKA_05D, cchs2003_m::SMKC_05D, cchs2005_m::SMKE_05D, cchs2015_2016_m::SMK_030, cchs2017_2018_m::SMK_030, cchs2019_2020_m::SMK_030, cchs2021_m::SMK_030, cchs2022_m::SPU_05, cchs2023_m::SPU_05, [SMK_05D]","","cat","1","2","Yes","Occasional smoker who previously smoked daily","N/A","1","Yes","Ever daily (occ)","Ever smoked daily (asked of current occasional smokers)","Available 2001-2021 PUMF, 2001-2023 Master. Universe: occasional and non-smokers. For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended from V2.1 with 2019-2023 Master coverage via SPU_05. PUMF coverage unchanged (ends 2021). Source variable changed from SMK_05D to SMK_030 in 2015.",""
"SMK_05D","SMK_05D_cat2_2","cat","cchs2001_m, cchs2001_p, cchs2003_m, cchs2003_p, cchs2005_m, cchs2005_p, cchs2015_2016_m, cchs2015_2016_p, cchs2017_2018_m, cchs2017_2018_p, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_05D, cchs2003_p::SMKC_05D, cchs2005_p::SMKE_05D, cchs2015_2016_p::SMK_030, cchs2017_2018_p::SMK_030, cchs2001_m::SMKA_05D, cchs2003_m::SMKC_05D, cchs2005_m::SMKE_05D, cchs2015_2016_m::SMK_030, cchs2017_2018_m::SMK_030, cchs2019_2020_m::SMK_030, cchs2021_m::SMK_030, cchs2022_m::SPU_05, cchs2023_m::SPU_05, [SMK_05D]","","cat","2","2","No","Occasional smoker never daily","N/A","2","No","Ever daily (occ)","Ever smoked daily (asked of current occasional smokers)","Available 2001-2021 PUMF, 2001-2023 Master. Universe: occasional and non-smokers. For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended from V2.1 with 2019-2023 Master coverage via SPU_05. PUMF coverage unchanged (ends 2021). Source variable changed from SMK_05D to SMK_030 in 2015.",""
"SMK_05D","SMK_05D_cat2_NAa","cat","cchs2001_m, cchs2001_p, cchs2003_m, cchs2003_p, cchs2005_m, cchs2005_p, cchs2015_2016_m, cchs2015_2016_p, cchs2017_2018_m, cchs2017_2018_p, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_05D, cchs2003_p::SMKC_05D, cchs2005_p::SMKE_05D, cchs2015_2016_p::SMK_030, cchs2017_2018_p::SMK_030, cchs2001_m::SMKA_05D, cchs2003_m::SMKC_05D, cchs2005_m::SMKE_05D, cchs2015_2016_m::SMK_030, cchs2017_2018_m::SMK_030, cchs2019_2020_m::SMK_030, cchs2021_m::SMK_030, cchs2022_m::SPU_05, cchs2023_m::SPU_05, [SMK_05D]","","cat","NA::a","2","not applicable","not applicable","N/A","6","not applicable","Ever daily (occ)","Ever smoked daily (asked of current occasional smokers)","Available 2001-2021 PUMF, 2001-2023 Master. Universe: occasional and non-smokers. For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended from V2.1 with 2019-2023 Master coverage via SPU_05. PUMF coverage unchanged (ends 2021). Source variable changed from SMK_05D to SMK_030 in 2015.",""
"SMK_05D","SMK_05D_cat2_NAb","cat","cchs2001_m, cchs2001_p, cchs2003_m, cchs2003_p, cchs2005_m, cchs2005_p, cchs2015_2016_m, cchs2015_2016_p, cchs2017_2018_m, cchs2017_2018_p, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_05D, cchs2003_p::SMKC_05D, cchs2005_p::SMKE_05D, cchs2015_2016_p::SMK_030, cchs2017_2018_p::SMK_030, cchs2001_m::SMKA_05D, cchs2003_m::SMKC_05D, cchs2005_m::SMKE_05D, cchs2015_2016_m::SMK_030, cchs2017_2018_m::SMK_030, cchs2019_2020_m::SMK_030, cchs2021_m::SMK_030, cchs2022_m::SPU_05, cchs2023_m::SPU_05, [SMK_05D]","","cat","NA::b","2","Missing","missing","N/A","[7,9]","don't know (7); refusal (8); not stated (9)","Ever daily (occ)","Ever smoked daily (asked of current occasional smokers)","Available 2001-2021 PUMF, 2001-2023 Master. Universe: occasional and non-smokers. For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended from V2.1 with 2019-2023 Master coverage via SPU_05. PUMF coverage unchanged (ends 2021). Source variable changed from SMK_05D to SMK_030 in 2015.",""
"SMK_05D","SMK_05D_cat2_NAb","cat","cchs2001_m, cchs2001_p, cchs2003_m, cchs2003_p, cchs2005_m, cchs2005_p, cchs2015_2016_m, cchs2015_2016_p, cchs2017_2018_m, cchs2017_2018_p, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_05D, cchs2003_p::SMKC_05D, cchs2005_p::SMKE_05D, cchs2015_2016_p::SMK_030, cchs2017_2018_p::SMK_030, cchs2001_m::SMKA_05D, cchs2003_m::SMKC_05D, cchs2005_m::SMKE_05D, cchs2015_2016_m::SMK_030, cchs2017_2018_m::SMK_030, cchs2019_2020_m::SMK_030, cchs2021_m::SMK_030, cchs2022_m::SPU_05, cchs2023_m::SPU_05, [SMK_05D]","","cat","NA::b","2","Missing","missing","N/A","else","else","Ever daily (occ)","Ever smoked daily (asked of current occasional smokers)","Available 2001-2021 PUMF, 2001-2023 Master. Universe: occasional and non-smokers. For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended from V2.1 with 2019-2023 Master coverage via SPU_05. PUMF coverage unchanged (ends 2021). Source variable changed from SMK_05D to SMK_030 in 2015.",""
