"variable","label","labelLong","variableType","databaseStart","variableStart","subject","section","units","notes","description","version","lastUpdated","status","reviewNotes","ICES.confirmation","Observation..MD."
"SMK_01A","Smoked 100+ cigs","Ever smoked 100 or more cigarettes in lifetime","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKA_01A, cchs2003_p::SMKC_01A, cchs2005_p::SMKE_01A, cchs2007_2008_p::SMK_01A, cchs2009_2010_p::SMK_01A, cchs2011_2012_p::SMK_01A, cchs2013_2014_p::SMK_01A, cchs2015_2016_p::SMK_020, cchs2017_2018_p::SMK_020, cchs2019_2020_p::SMK_020, cchs2021_p::SMK_020, cchs2001_m::SMKA_01A, cchs2003_m::SMKC_01A, cchs2005_m::SMKE_01A, cchs2007_2008_m::SMK_01A, cchs2009_2010_m::SMK_01A, cchs2011_2012_m::SMK_01A, cchs2013_2014_m::SMK_01A, cchs2015_2016_m::SMK_020, cchs2017_2018_m::SMK_020, cchs2019_2020_m::SMK_020, cchs2021_m::SMK_020, cchs2022_m::CSS_15, cchs2023_m::CSS_15, [SMK_01A]","Smoking","Health behaviour","N/A","Universe: Respondents who have smoked at least one whole cigarette. Available 2001-2021 PUMF, 2001-2023 Master. For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended to 2022-2023 Master files via CSS_15. PUMF coverage ends at 2021. For PUMF-only analyses requiring 2022-2023, no direct equivalent available.","Yes",""
"SMK_202","Smoking freq","Current cigarette smoking frequency (daily, occasional, not at all)","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKA_202, cchs2003_p::SMKC_202, cchs2005_p::SMKE_202, cchs2007_2008_p::SMK_202, cchs2009_2010_p::SMK_202, cchs2011_2012_p::SMK_202, cchs2013_2014_p::SMK_202, cchs2015_2016_p::SMK_005, cchs2017_2018_p::SMK_005, cchs2019_2020_p::SMK_005, cchs2021_p::SMK_005, cchs2022_p::CSS_05, cchs2023_p::CSS_05, cchs2001_m::SMKA_202, cchs2003_m::SMKC_202, cchs2005_m::SMKE_202, cchs2007_2008_m::SMK_202, cchs2009_2010_m::SMK_202, cchs2011_2012_m::SMK_202, cchs2013_2014_m::SMK_202, cchs2015_2016_m::SMK_005, cchs2017_2018_m::SMK_005, cchs2019_2020_m::SMK_005, cchs2021_m::SMK_005, cchs2022_m::CSS_05, cchs2023_m::CSS_05, [SMK_202]","Smoking","Health behaviour","N/A","Universe: All respondents aged 12+. Full coverage 2001-2023 PUMF and Master. Maps to: SMKA_202 (2001), SMKC_202 (2003), SMKE_202 (2005), SMK_202 (2007-2014), SMK_005 (2015-2021), CSS_05 (2022-2023). {recommended:secondary}","","3.0.0-alpha","2026-01-04","active","v3.0.0: Full cycle coverage 2001-2023 for both PUMF and Master. Source variable naming changed from SMK_202 to SMK_005 in 2015 and to CSS_05 in 2022. Recommended for cross-cycle current smoking status analyses.","",""
"SMK_05D","Ever daily (occ)","Ever smoked cigarettes daily (asked of occasional smokers)","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKA_05D, cchs2003_p::SMKC_05D, cchs2005_p::SMKE_05D, cchs2007_2008_p::SMK_05D, cchs2009_2010_p::SMK_05D, cchs2011_2012_p::SMK_05D, cchs2013_2014_p::SMK_05D, cchs2015_2016_p::SMK_030, cchs2017_2018_p::SMK_030, cchs2019_2020_p::SMK_030, cchs2021_p::SMK_030, cchs2001_m::SMKA_05D, cchs2003_m::SMKC_05D, cchs2005_m::SMKE_05D, cchs2007_2008_m::SMK_05D, cchs2009_2010_m::SMK_05D, cchs2011_2012_m::SMK_05D, cchs2013_2014_m::SMK_05D, cchs2015_2016_m::SMK_030, cchs2017_2018_m::SMK_030, cchs2019_2020_m::SMK_030, cchs2021_m::SMK_030, cchs2022_m::SPU_05, cchs2023_m::SPU_05, [SMK_05D]","Smoking","Health behaviour","N/A","Universe: Occasional and non-smokers only. Available 2001-2021 PUMF, 2001-2023 Master. Maps to: SMKA_05D (2001), SMKC_05D (2003), SMKE_05D (2005), SMK_05D (2007-2014), SMK_030 (2015-2021), SPU_05 (2022-2023). For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended to 2022-2023 Master files via SPU_05. PUMF coverage ends at 2021. Source variable naming changed from SMK_05D to SMK_030 in 2015. For PUMF-only 2022-2023 analyses, use SMKDSTY-based variables instead.","","the same variable exist but the label does not say 'occasional'"
"SMK_005","Smoking freq (2015+)","Type of smoker presently (2015+ era-specific name for SMK_202)","Categorical","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_005]","Smoking","Health behaviour","N/A","BACKWARD COMPATIBILITY: Superseded by SMK_202. Era-specific pass-through (2015-2018 PUMF and Master). Users should migrate to SMK_202 for new analyses.","","3.0.0-alpha","2026-01-05","active","v3.0.0: Maintained for v2.1 backward compatibility only. SMK_005 is the 2015+ era-specific source name; SMK_202 is the harmonized output covering all cycles. Will be deprecated in future release.","",""
"SMK_030","Ever daily (2015+)","Smoked daily - lifetime (2015+ era-specific name for SMK_05D)","Categorical","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_030]","Smoking","Health behaviour","N/A","BACKWARD COMPATIBILITY: Superseded by SMK_05D. Era-specific pass-through (2015-2018 PUMF and Master). Users should migrate to SMK_05D for new analyses.","","3.0.0-alpha","2026-01-05","active","v3.0.0: Maintained for v2.1 backward compatibility only. SMK_030 is the 2015+ era-specific source name; SMK_05D is the harmonized output covering all cycles. Will be deprecated in future release.","",""
"SMKDSTY","Smoking type","Type of smoker derived (6-category)","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, cchs2007_2008_p::SMKDSTY, cchs2009_2010_p::SMKDSTY, cchs2011_2012_p::SMKDSTY, cchs2013_2014_p::SMKDSTY, cchs2015_2016_p::SMKDVSTY, cchs2017_2018_p::SMKDVSTY, cchs2019_2020_p::SMKDVSTY, cchs2021_p::SMKDVSTY, cchs2022_p::SMKDVSTY, cchs2023_p::SMKDVSTY, cchs2001_m::SMKADSTY, cchs2003_m::SMKCDSTY, cchs2005_m::SMKEDSTY, cchs2007_2008_m::SMKDSTY, cchs2009_2010_m::SMKDSTY, cchs2011_2012_m::SMKDSTY, cchs2013_2014_m::SMKDSTY, cchs2015_2016_m::SMKDVSTY, cchs2017_2018_m::SMKDVSTY, cchs2019_2020_m::SMKDVSTY, cchs2021_m::SMKDVSTY, cchs2022_m::SMKDVSTY, cchs2023_m::SMKDVSTY","Smoking","Health behaviour","N/A","Raw pass-through of StatCan derived variable. Full coverage 2001-2023 PUMF and Master. CAUTION: Category 5 meaning changed in 2015. Use SMKDSTY_cat3 or SMKDSTY_cat5 for comparable cross-cycle analyses.","2015 onwards for smoke status still has 6 categories, but removed 'always occasional' (Never daily current occasional smoker) and added 'experimental' (at least 1 cig, non-smoker now)","3.0.0-alpha","2026-01-04","active","v3.0.0: NEW variable. Raw pass-through of StatCan derived smoking status. Required for pack-years calculation. CAUTION: Category 5 meaning changed in 2015 (former occasional -> experimental smoker). For comparable cross-cycle analyses, use SMKDSTY_cat3 or SMKDSTY_cat5 instead.","",""
"SMKDSTY_A","Smoking (6-cat pre-2015)","Type of smoker (6-category, pre-2015 categories with derivation for 2015+)","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, cchs2007_2008_p::SMKDSTY, cchs2009_2010_p::SMKDSTY, cchs2011_2012_p::SMKDSTY, cchs2013_2014_p::SMKDSTY, cchs2015_2016_p::SMKDVSTY, cchs2017_2018_p::SMKDVSTY, cchs2019_2020_p::SMKDVSTY, cchs2021_p::SMKDVSTY, cchs2022_p::SMKDVSTY, cchs2023_p::SMKDVSTY, cchs2001_m::SMKADSTY, cchs2003_m::SMKCDSTY, cchs2005_m::SMKEDSTY, cchs2007_2008_m::SMKDSTY, cchs2009_2010_m::SMKDSTY, cchs2011_2012_m::SMKDSTY, cchs2013_2014_m::SMKDSTY, [SMKDSTY], DerivedVar::[SMK_202, SMK_05D, SMK_01A]","Smoking","Health behaviour","N/A","{recommended:primary} {sub_subject:status} Full coverage 2001-2023 PUMF and Master. Derivation: 2001-2014 pass-through from SMKDSTY; 2015-2021 derived from SMK_202, SMK_05D, SMK_01A; 2022-2023 remapped from SMKDVSTY (cat 5 experimental → former occasional). Use when consistent 6-category pre-2015 definitions are needed.","2015 onwards for smoke status still has 6 categories, but removed 'always occasional' (Never daily current occasional smoker) and added 'experimental' (at least 1 cig, non-smoker now)","3.0.0-alpha","2026-01-04","active","v3.0.0: Provides consistent pre-2015 category structure across all cycles. 2001-2014: direct pass-through. 2015+: derived from SMK_202, SMK_05D, SMK_01A using calculate_smoking_status_detailed(). PUMF validated through 2018; Master validated through 2023.","Yes","SMKDSTY_fun is used to harmonize this var until 2023. SMKDSTY_fun can be applied to 2022 and 2023 cycles because SMK_005 was extended until 2023."
"SMKDSTY_B","Smoking (6-cat 2015+)","Type of smoker (6-category, 2015+ categories, SMKDVSTY pass-through)","Categorical","cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2015_2016_p::SMKDVSTY, cchs2017_2018_p::SMKDVSTY, cchs2019_2020_p::SMKDVSTY, cchs2021_p::SMKDVSTY, cchs2022_p::SMKDVSTY, cchs2023_p::SMKDVSTY, cchs2015_2016_m::SMKDVSTY, cchs2017_2018_m::SMKDVSTY, cchs2019_2020_m::SMKDVSTY, cchs2021_m::SMKDVSTY, cchs2022_m::SMKDVSTY, cchs2023_m::SMKDVSTY, [SMKDVSTY]","Smoking","Health behaviour","N/A","2015+ category structure only. Available 2015-2023 PUMF and Master. Direct SMKDVSTY pass-through. Not available pre-2015; use SMKDSTY_A for earlier cycles.","2015 onwards for smoke status still has 6 categories, but removed 'always occasional' (Never daily current occasional smoker) and added 'experimental' (at least 1 cig, non-smoker now)","3.0.0-alpha","2026-01-04","active","v3.0.0: 2015+ only. Direct pass-through of SMKDVSTY. Use when 2015+ category structure is preferred (includes 'experimental smoker' category). Not available pre-2015; use SMKDSTY_A for full cycle coverage.","",""
"SMKDSTY_cat3","Smoking (3-cat)","Smoking status (3-category): current, former, never","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, cchs2007_2008_p::SMKDSTY, cchs2009_2010_p::SMKDSTY, cchs2011_2012_p::SMKDSTY, cchs2013_2014_p::SMKDSTY, cchs2015_2016_p::SMKDVSTY, cchs2017_2018_p::SMKDVSTY, cchs2019_2020_p::SMKDVSTY, cchs2021_p::SMKDVSTY, cchs2022_p::SMKDVSTY, cchs2023_p::SMKDVSTY, cchs2001_m::SMKADSTY, cchs2003_m::SMKCDSTY, cchs2005_m::SMKEDSTY, cchs2007_2008_m::SMKDSTY, cchs2009_2010_m::SMKDSTY, cchs2011_2012_m::SMKDSTY, cchs2013_2014_m::SMKDSTY, cchs2015_2016_m::SMKDVSTY, cchs2017_2018_m::SMKDVSTY, cchs2019_2020_m::SMKDVSTY, cchs2021_m::SMKDVSTY, cchs2022_m::SMKDVSTY, cchs2023_m::SMKDVSTY, [SMKDSTY]","Smoking","Health behaviour","N/A","Collapsed to current/former/never. Full coverage 2001-2023 PUMF and Master. Recommended for cross-cycle comparisons requiring full comparability. {recommended:secondary}","Re-categorization of SMKDSTY to be used for smoking imputation","3.0.0-alpha","2026-01-04","active","v3.0.0: Recommended for cross-cycle comparisons. Collapses to current/former/never, avoiding all semantic breaks. Full PUMF and Master coverage 2001-2023.","",""
"SMKDSTY_cat5","Smoking (5-cat)","Smoking status (5-category): daily, occasional, former daily, former occasional, never","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, cchs2007_2008_p::SMKDSTY, cchs2009_2010_p::SMKDSTY, cchs2011_2012_p::SMKDSTY, cchs2013_2014_p::SMKDSTY, cchs2015_2016_p::SMKDVSTY, cchs2017_2018_p::SMKDVSTY, cchs2019_2020_p::SMKDVSTY, cchs2021_p::SMKDVSTY, cchs2022_p::SMKDVSTY, cchs2023_p::SMKDVSTY, cchs2001_m::SMKADSTY, cchs2003_m::SMKCDSTY, cchs2005_m::SMKEDSTY, cchs2007_2008_m::SMKDSTY, cchs2009_2010_m::SMKDSTY, cchs2011_2012_m::SMKDSTY, cchs2013_2014_m::SMKDSTY, cchs2015_2016_m::SMKDVSTY, cchs2017_2018_m::SMKDVSTY, cchs2019_2020_m::SMKDVSTY, cchs2021_m::SMKDVSTY, cchs2022_m::SMKDVSTY, cchs2023_m::SMKDVSTY, [SMKDSTY]","Smoking","Health behaviour","N/A","5-category avoiding semantic break. Full coverage 2001-2023 PUMF and Master. Merges occasional subtypes and former occasional/experimental. Recommended when more detail than 3-category is needed. {recommended:secondary}","Re-categorization of SMKDSTY to be used for smoking imputation. Prior to 2015, 'occasional' and 'always occasional' are combined to form the current 'occasional' category. 2015 onwards, 'former occasional' and 'experimental' are combined to form the current 'former occasional' category","3.0.0-alpha","2026-01-04","active","v3.0.0: Recommended when more detail than 3-category is needed but cross-cycle comparability is required. Merges categories to avoid the 2015 semantic break on category 5. Full PUMF and Master coverage 2001-2023.","Yes",""
